continent,airport,totalFlights,totalPages,page_per_day,page_per_day_cum_sum
Europe,PRG,4630.0,50.0,0.3333333333333333,75.17999999999999
Europe,BIA,4292.0,50.0,0.3333333333333333,75.51333333333332
Europe,VLC,4070.0,46.0,0.30666666666666664,75.82
Europe,BSL,4008.0,44.0,0.29333333333333333,76.11333333333333
Europe,KEF,3988.0,48.0,0.32,76.43333333333332
Europe,RIX,3934.0,45.0,0.3,76.73333333333332
Europe,IBZ,3865.0,46.0,0.30666666666666664,77.03999999999999
Europe,BOD,3706.0,45.0,0.3,77.33999999999999
Europe,LGW,3688.0,45.0,0.3,77.63999999999999
Europe,BOO,3648.0,40.0,0.26666666666666666,77.90666666666665
Europe,LCY,3589.0,39.0,0.26,78.16666666666666
Europe,TLL,3403.0,44.0,0.29333333333333333,78.46
Europe,BIO,3400.0,39.0,0.26,78.72
Europe,BHX,3299.0,34.0,0.22666666666666666,78.94666666666667
Europe,BRI,3295.0,35.0,0.23333333333333334,79.18
Europe,ALC,3220.0,36.0,0.24,79.42
Europe,HER,3152.0,39.0,0.26,79.68
Europe,HAM,3149.0,35.0,0.23333333333333334,79.91333333333334
Europe,DUS,3105.0,34.0,0.22666666666666666,80.14000000000001
Europe,TOS,3061.0,36.0,0.24,80.38000000000001
Europe,BLQ,3029.0,34.0,0.22666666666666666,80.60666666666668
Europe,AAL,2992.0,32.0,0.21333333333333335,80.82000000000002
Europe,BUD,2957.0,32.0,0.21333333333333335,81.03333333333336
Europe,GOT,2949.0,33.0,0.22,81.25333333333336
Europe,NTE,2898.0,34.0,0.22666666666666666,81.48000000000003
Europe,BRU,2883.0,38.0,0.25333333333333335,81.73333333333336
Europe,FSC,2751.0,39.0,0.26,81.99333333333337
Europe,BRS,2733.0,28.0,0.18666666666666668,82.18000000000004
Europe,BIQ,2723.0,34.0,0.22666666666666666,82.40666666666671
Europe,KRS,2585.0,30.0,0.2,82.60666666666671
Europe,KRK,2499.0,28.0,0.18666666666666668,82.79333333333338
Europe,BLL,2489.0,28.0,0.18666666666666668,82.98000000000005
Europe,AES,2469.0,31.0,0.20666666666666667,83.18666666666671
Europe,SOF,2453.0,31.0,0.20666666666666667,83.39333333333337
Europe,NCL,2449.0,28.0,0.18666666666666668,83.58000000000004
Europe,VNO,2414.0,30.0,0.2,83.78000000000004
Europe,TRN,2410.0,29.0,0.19333333333333333,83.97333333333337
Europe,FAO,2343.0,27.0,0.18,84.15333333333338
