continent,subcontinent,country,iata,country_code,region_name,icao,airport,latitude,longitude
Europe,Central Europe,Germany,DTM,DE,Nordrhein-Westfalen,EDLW,Dortmund Airport,51.5183,7.61224
Europe,Central Europe,Germany,DUS,DE,Nordrhein-Westfalen,EDDL,Dusseldorf Airport,51.2895,6.76678
Europe,Central Europe,Germany,FRA,DE,Hessen,EDDF,Frankfurt Airport,50.0333,8.57056
Europe,Central Europe,Germany,HHN,DE,Rheinland-Pfalz,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389
Europe,Central Europe,Germany,FDH,DE,Baden-Wurttemberg,EDNY,Friedrichshafen Airport (Bodensee Airport),47.6713,9.51149
Europe,Central Europe,Germany,HAM,DE,Hamburg,EDDH,Hamburg Airport,53.6304,9.98823
Europe,Central Europe,Germany,HAJ,DE,Niedersachsen,EDDV,Hannover Airport,52.4611,9.68508
Europe,Central Europe,Germany,LEJ,DE,Sachsen,EDDP,Leipzig/Halle Airport,51.4239,12.2364
Europe,Central Europe,Germany,LBC,DE,Schleswig-Holstein,EDHL,Lubeck Airport,53.8054,10.7192
Europe,Central Europe,Germany,FMM,DE,Bayern,EDJA,Memmingen Airport,47.9888,10.2395
Europe,Central Europe,Germany,MUC,DE,Bayern,EDDM,Munich Airport,48.3538,11.7861
Europe,Central Europe,Germany,NUE,DE,Bayern,EDDN,Nuremberg Airport,49.4987,11.0781
Europe,Central Europe,Germany,STR,DE,Baden-Wurttemberg,EDDS,Stuttgart Airport,48.6899,9.22196
Europe,Central Europe,Germany,NRN,DE,Nordrhein-Westfalen,EDLV,Weeze Airport (Niederrhein Airport),51.6024,6.14217
Europe,Central Europe,Hungary,BUD,HU,Budapest,LHBP,Budapest Ferenc Liszt International Airport,47.4298,19.2611
Europe,Central Europe,Hungary,DEB,HU,Hajdu-Bihar,LHDC,Debrecen International Airport,47.4889,21.6153
Europe,Central Europe,Hungary,SOB,HU,Zala,LHSM,Heviz-Balaton Airport,46.6864,17.1591
Europe,Central Europe,Poland,BZG,PL,Kujawsko-pomorskie,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,53.0968,17.9777
Europe,Central Europe,Poland,GDN,PL,Pomorskie,EPGD,Gdansk Lech Walesa Airport,54.3776,18.4662
Europe,Central Europe,Poland,KTW,PL,Slaskie,EPKT,Katowice International Airport,50.4743,19.08
Europe,Central Europe,Poland,KRK,PL,Malopolskie,EPKK,John Paul II International Airport Krakow-Balice,50.0777,19.7848
Europe,Central Europe,Poland,LUZ,PL,Lubelskie,EPLB,Lublin Airport,51.2403,22.7136
Europe,Central Europe,Poland,LCJ,PL,Lodzkie,EPLL,Lodz Wladyslaw Reymont Airport,51.7219,19.3981
Europe,Central Europe,Poland,SZY,PL,Warminsko-mazurskie,EPSY,Olsztyn-Mazury Regional Airport,53.4819,20.9377
Europe,Central Europe,Poland,POZ,PL,Wielkopolskie,EPPO,Poznań–Ławica Henryk Wieniawski Airport,52.421,16.8263
Europe,Central Europe,Poland,RZE,PL,Podlaskie,EPRZ,Rzeszow-Jasionka Airport,50.11,22.019
Europe,Central Europe,Poland,SZZ,PL,Zachodniopomorskie,EPSC,Solidarity Szczecin-Goleniow Airport,53.5847,14.9022
Europe,Central Europe,Poland,WAW,PL,Mazowieckie,EPWA,Warsaw Chopin Airport,52.1657,20.9671
Europe,Central Europe,Poland,WMI,PL,Mazowieckie,EPMO,Warsaw Modlin Airport,52.4511,20.6518
Europe,Central Europe,Poland,RDO,PL,Mazowieckie,EPRA,Radom Airport,51.3892,21.2133
Europe,Central Europe,Poland,WRO,PL,Dolnoslaskie,EPWR,Copernicus Airport Wroclaw,51.1027,16.8858
Europe,Central Europe,Slovakia,BTS,SK,Bratislavsky kraj,LZIB,M. R. Stefanik Airport,48.1702,17.2127
Europe,Central Europe,Slovakia,KSC,SK,Kosicky kraj,LZKZ,Kosice International Airport,48.6631,21.2411
Europe,Central Europe,Slovakia,PZY,SK,Trnavsky kraj,LZPP,Piestany Airport,48.6252,17.8284
