,request,nb_of_pages_already_retrieved,total_flights,page.totalPages
74,afklm_api_data_collection_arrivalCity=AMS&departureCity=LPA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,448,5
75,afklm_api_data_collection_arrivalCity=AMS&departureCity=LPL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,133,2
76,afklm_api_data_collection_arrivalCity=AMS&departureCity=LUX&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,518,6
77,afklm_api_data_collection_arrivalCity=AMS&departureCity=LYS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1068,11
78,afklm_api_data_collection_arrivalCity=AMS&departureCity=MAD&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1693,17
79,afklm_api_data_collection_arrivalCity=AMS&departureCity=MAN&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1631,17
80,afklm_api_data_collection_arrivalCity=AMS&departureCity=MJT&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,126,2
81,afklm_api_data_collection_arrivalCity=AMS&departureCity=MLA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,269,3
82,afklm_api_data_collection_arrivalCity=AMS&departureCity=MME&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,374,4
83,afklm_api_data_collection_arrivalCity=AMS&departureCity=MRS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,457,5
84,afklm_api_data_collection_arrivalCity=AMS&departureCity=MUC&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1709,18
85,afklm_api_data_collection_arrivalCity=AMS&departureCity=NAP&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,380,4
86,afklm_api_data_collection_arrivalCity=AMS&departureCity=NCE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,858,9
87,afklm_api_data_collection_arrivalCity=AMS&departureCity=NCL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,815,9
88,afklm_api_data_collection_arrivalCity=AMS&departureCity=NTE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,457,5
89,afklm_api_data_collection_arrivalCity=AMS&departureCity=NUE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,649,7
90,afklm_api_data_collection_arrivalCity=AMS&departureCity=NWI&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,606,7
91,afklm_api_data_collection_arrivalCity=AMS&departureCity=OLB&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,227,3
92,afklm_api_data_collection_arrivalCity=AMS&departureCity=OPO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,802,9
93,afklm_api_data_collection_arrivalCity=AMS&departureCity=ORK&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,352,4
94,afklm_api_data_collection_arrivalCity=AMS&departureCity=OSL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1384,14
95,afklm_api_data_collection_arrivalCity=AMS&departureCity=PMI&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,988,10
96,afklm_api_data_collection_arrivalCity=AMS&departureCity=POZ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,303,4
97,afklm_api_data_collection_arrivalCity=AMS&departureCity=PRG&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1106,12
98,afklm_api_data_collection_arrivalCity=AMS&departureCity=PSA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,229,3
99,afklm_api_data_collection_arrivalCity=AMS&departureCity=PVK&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,248,3
100,afklm_api_data_collection_arrivalCity=AMS&departureCity=RHO&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,362,4
101,afklm_api_data_collection_arrivalCity=AMS&departureCity=RIX&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,457,5
102,afklm_api_data_collection_arrivalCity=AMS&departureCity=SKG&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,223,3
103,afklm_api_data_collection_arrivalCity=AMS&departureCity=SMI&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,213,3
104,afklm_api_data_collection_arrivalCity=AMS&departureCity=SOF&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,155,2
105,afklm_api_data_collection_arrivalCity=AMS&departureCity=SOU&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,489,5
106,afklm_api_data_collection_arrivalCity=AMS&departureCity=SPU&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,586,6
107,afklm_api_data_collection_arrivalCity=AMS&departureCity=STR&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,761,8
108,afklm_api_data_collection_arrivalCity=AMS&departureCity=SVG&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,795,8
109,afklm_api_data_collection_arrivalCity=AMS&departureCity=SVQ&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,183,2
110,afklm_api_data_collection_arrivalCity=AMS&departureCity=TIA&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,121,2
111,afklm_api_data_collection_arrivalCity=AMS&departureCity=TLL&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,305,4
112,afklm_api_data_collection_arrivalCity=AMS&departureCity=TLS&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,541,6
113,afklm_api_data_collection_arrivalCity=AMS&departureCity=TRD&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,458,5
114,afklm_api_data_collection_arrivalCity=AMS&departureCity=TRN&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,305,4
115,afklm_api_data_collection_arrivalCity=AMS&departureCity=VCE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,583,6
116,afklm_api_data_collection_arrivalCity=AMS&departureCity=VIE&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,1295,13
117,afklm_api_data_collection_arrivalCity=AMS&departureCity=VLC&endRange=2025-10-14T23_59_59Z&startRange=2025-05-15T09_00_00Z,1,915,10
