,departure_icao,destination_icao,callsign,departure_continent,departure_subcontinent,departure_country,departure_iata,departure_country_code,departure_region_name,departure_airport,departure_latitude,departure_longitude,destination_continent,destination_subcontinent,destination_country,destination_iata,destination_country_code,destination_region_name,destination_airport,destination_latitude,destination_longitude
84,BIKF,KBUF,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,BUF,US,New York,Buffalo Niagara International Airport,42.9405,-78.7322
85,BIKF,KBWI,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,BWI,US,Maryland,Baltimore/Washington International Airport,39.1753,-76.6683
86,BIKF,KDAL,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,DAL,US,Texas,Dallas Love Field,32.8471,-96.8518
87,BIKF,KDEN,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,DEN,US,Colorado,Denver International Airport,39.8617,-104.673
88,BIKF,KDLH,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,DLH,US,Minnesota,Duluth International Airport,46.8421,-92.1936
89,BIKF,KDTW,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,DTW,US,Michigan,Detroit Metro Wayne County Airport,42.2125,-83.3533
90,BIKF,KERI,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,ERI,US,Pennsylvania,Erie International Airport (Tom Ridge Field),42.0831,-80.1739
91,BIKF,KEWR,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,EWR,US,New Jersey,Newark Liberty International Airport,40.6925,-74.1686
92,BIKF,KGRB,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,GRB,US,Wisconsin,Austin Straubel International Airport,44.4851,-88.1296
93,BIKF,KGRR,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,GRR,US,Michigan,Gerald R. Ford International Airport,42.8808,-85.5228
94,BIKF,KIAD,5,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,IAD,US,Virginia,Washington Dulles International Airport,38.9445,-77.4558
95,BIKF,KIND,1,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,IND,US,Indiana,Indianapolis International Airport,39.7173,-86.2944
96,BIKF,KINL,2,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,INL,US,Minnesota,Falls International Airport,48.5662,-93.4031
97,BIKF,KJFK,4,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,JFK,US,New York,John F. Kennedy International Airport,40.6397,-73.7789
98,BIKF,KLAX,3,Europe,Nordic Region,Iceland,KEF,IS,Sudurnes,Keflavík International Airport,63.985,-22.6056,Americas,North America,United States,LAX,US,California,Los Angeles International Airport,33.9425,-118.408
