_id,id,airline-code,airline-name,flightLegs-aircraft-ownerAirlineCode,flightLegs-aircraft-typeCode,flightLegs-arrivalInformation-airport-city-country-areaCode,flightLegs-arrivalInformation-airport-city-country-code,flightLegs-arrivalInformation-airport-city-country-name,flightLegs-arrivalInformation-airport-code,flightLegs-arrivalInformation-airport-location-latitude,flightLegs-arrivalInformation-airport-location-longitude,flightLegs-arrivalInformation-times-actual,flightLegs-arrivalInformation-times-actualTouchDownTime,flightLegs-arrivalInformation-times-estimated-value,flightLegs-arrivalInformation-times-latestPublished,flightLegs-arrivalInformation-times-scheduled,flightLegs-departureInformation-airport-city-country-areaCode,flightLegs-departureInformation-airport-city-country-code,flightLegs-departureInformation-airport-city-country-name,flightLegs-departureInformation-airport-code,flightLegs-departureInformation-airport-location-latitude,flightLegs-departureInformation-airport-location-longitude,flightLegs-departureInformation-airport-places-departurePositionTerminal-boardingTerminal,flightLegs-departureInformation-airport-places-departurePositionTerminal-gateNumber,flightLegs-departureInformation-times-actual,flightLegs-departureInformation-times-actualTakeOffTime,flightLegs-departureInformation-times-latestPublished,flightLegs-departureInformation-times-scheduled,flightLegs-irregularity-delayDuration,flightLegs-irregularity-delayInformation-delayReasonPublicLong,flightLegs-irregularity-delayInformation-delayReasonPublicShort,flightLegs-irregularity-delayReason,flightLegs-scheduledFlightDuration,flightLegs-serviceType,flightNumber,flightStatusPublic,flightLegs-status,flightLegs-arrivalInformation-airport-places-arrivalPositionTerminal,flightLegs-irregularity-delayDuration-total
6900d152be9ad5e05baf37e4,20250608+SK+1209,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),TF,ATR,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-08T11:51:00.000+02:00,2025-06-08T11:48:00.000+02:00,2025-06-08T11:51:00.000+02:00,2025-06-08T11:51:00.000+02:00,2025-06-08T11:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B16,2025-06-08T10:58:00.000+02:00,2025-06-08T11:10:00.000+02:00,2025-06-08T10:58:00.000+02:00,2025-06-08T10:55:00.000+02:00,,,,,PT55M,J,1209,ARRIVED,,,
6900d152be9ad5e05baf37e5,20250608+SK+1213,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-08T14:35:00.000+02:00,2025-06-08T14:29:00.000+02:00,2025-06-08T14:35:00.000+02:00,2025-06-08T14:35:00.000+02:00,2025-06-08T14:45:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B7,2025-06-08T13:52:00.000+02:00,2025-06-08T14:02:00.000+02:00,2025-06-08T13:52:00.000+02:00,2025-06-08T14:00:00.000+02:00,,,,,PT45M,J,1213,ARRIVED,,,
6900d152be9ad5e05baf37e6,20250608+SK+1215,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),WX,CRJ,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-08T16:46:00.000+02:00,2025-06-08T16:42:00.000+02:00,2025-06-08T16:46:00.000+02:00,2025-06-08T16:46:00.000+02:00,2025-06-08T16:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B16,2025-06-08T16:01:00.000+02:00,2025-06-08T16:12:00.000+02:00,2025-06-08T16:01:00.000+02:00,2025-06-08T16:05:00.000+02:00,,,,,PT45M,J,1215,ARRIVED,,,
6900d152be9ad5e05baf37e7,20250608+SK+1203,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,E95,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-08T18:52:00.000+02:00,2025-06-08T18:48:00.000+02:00,2025-06-08T18:52:00.000+02:00,2025-06-08T18:52:00.000+02:00,2025-06-08T18:45:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B7,2025-06-08T18:03:00.000+02:00,2025-06-08T18:19:00.000+02:00,2025-06-08T18:03:00.000+02:00,2025-06-08T18:00:00.000+02:00,,,,,PT45M,J,1203,ARRIVED,,,
6900d152be9ad5e05baf37e8,20250608+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-09T00:06:00.000+02:00,2025-06-09T00:02:00.000+02:00,2025-06-09T00:06:00.000+02:00,2025-06-09T00:06:00.000+02:00,2025-06-08T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A6,2025-06-08T23:17:00.000+02:00,2025-06-08T23:31:00.000+02:00,2025-06-08T23:17:00.000+02:00,2025-06-08T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
6900d152be9ad5e05baf37e9,20250609+SK+1213,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,320,E,DK,DENMARK,AAL,57.0931,9.85,,,2025-06-09T13:55:00.000+02:00,2025-06-09T13:55:00.000+02:00,2025-06-09T13:55:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,,,,,2025-06-09T13:10:00.000+02:00,2025-06-09T13:10:00.000+02:00,,,,,PT45M,J,1213,ARRIVED,S,,
6900d152be9ad5e05baf37ea,20250609+SK+1203,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,,2025-06-09T18:12:00.000+02:00,2025-06-09T18:18:00.000+02:00,2025-06-09T18:18:00.000+02:00,2025-06-09T18:15:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,E20,2025-06-09T17:29:00.000+02:00,2025-06-09T17:42:00.000+02:00,2025-06-09T17:29:00.000+02:00,2025-06-09T17:30:00.000+02:00,,,,,PT45M,J,1203,ARRIVED,,,
6900d152be9ad5e05baf37eb,20250609+SK+1221,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-09T22:01:00.000+02:00,2025-06-09T21:57:00.000+02:00,2025-06-09T22:01:00.000+02:00,2025-06-09T22:01:00.000+02:00,2025-06-09T22:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B4,2025-06-09T21:17:00.000+02:00,2025-06-09T21:27:00.000+02:00,2025-06-09T21:17:00.000+02:00,2025-06-09T21:20:00.000+02:00,,,,,PT45M,J,1221,ARRIVED,,,
6900d152be9ad5e05baf37ec,20250609+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,,2025-06-10T00:16:00.000+02:00,2025-06-10T00:20:00.000+02:00,2025-06-10T00:20:00.000+02:00,2025-06-09T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A22,2025-06-09T23:34:00.000+02:00,2025-06-09T23:47:00.000+02:00,2025-06-09T23:34:00.000+02:00,2025-06-09T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
6900d152be9ad5e05baf37ed,20250610+SK+1209,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,E95,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-10T12:02:00.000+02:00,2025-06-10T11:56:00.000+02:00,2025-06-10T12:02:00.000+02:00,2025-06-10T12:02:00.000+02:00,2025-06-10T12:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B15,2025-06-10T11:17:00.000+02:00,2025-06-10T11:27:00.000+02:00,2025-06-10T11:17:00.000+02:00,2025-06-10T11:20:00.000+02:00,,,,,PT45M,J,1209,ARRIVED,,,
