,flightLegs-arrivalInformation-airport-code,flightLegs-departureInformation-airport-code,_id
1747,TRN,CDG,23
1669,SVQ,CDG,22
488,CDG,CFU,22
1181,MLA,ORY,22
1458,PMI,BCN,22
429,BRU,FCO,22
1704,TLL,AMS,22
1711,TLN,ORY,22
868,HAJ,CDG,21
220,ARN,CPH,21
1746,TRN,AMS,21
1794,VNO,AMS,21
1486,PUF,ORY,21
340,BGO,ARN,21
1373,ORY,PUF,20
1313,ORY,BIQ,20
1325,ORY,DBV,20
1238,MXP,ORY,20
1658,SVG,CPH,20
604,CFU,CDG,20
1287,OLB,CDG,20
1264,NCL,CDG,20
1521,RHO,ORY,20
1032,LHR,ORY,20
1600,SKG,AMS,20
1040,LIN,BRI,19
640,CPH,BGO,19
1761,UME,ARN,19
1425,OSL,TOS,19
1466,PMO,CDG,19
1350,ORY,LHR,18
1312,ORY,BIO,18
518,CDG,JTR,18
1365,ORY,ORY,18
1736,TRD,CPH,18
1468,PMO,LIN,18
1390,ORY,TIA,18
1393,ORY,TLN,18
1479,PSA,AMS,18
1178,MLA,CDG,18
522,CDG,LBA,18
517,CDG,JMK,18
1013,LCY,FCO,18
1341,ORY,JMK,17
1359,ORY,MRS,17
1055,LIN,PMO,17
1297,ORK,CDG,17
1319,ORY,CFU,17
1246,NAP,FCO,17
1687,TFS,ORY,17
1659,SVG,OSL,17
237,ARN,TRD,17
1385,ORY,SPU,16
1334,ORY,FNC,16
1411,OSL,BOO,16
1247,NAP,LIN,16
1423,OSL,SVG,16
1066,LJU,CDG,16
1523,RIX,CDG,16
584,CDG,VNO,16
313,BDS,ORY,16
1700,TIA,ORY,15
1388,ORY,TFS,15
1327,ORY,DUB,15
1778,VCE,ORY,15
724,EFL,AMS,15
953,JMK,CDG,15
228,ARN,ORY,15
1200,MRS,ORY,15
1797,VNO,CPH,15
1644,SPU,ORY,15
993,KRS,BGO,15
1513,RDZ,ORY,15
1343,ORY,JTR,15
1638,SOF,VAR,15
1804,VRN,AMS,15
988,KRK,CDG,15
1286,OLB,AMS,14
1253,NCE,BIA,14
1320,ORY,CHQ,14
1195,MRS,BIA,14
1742,TRF,BGO,14
1376,ORY,RDZ,14
1751,TSR,OTP,14
1052,LIN,NAP,14
885,HEL,ARN,14
957,JTR,CDG,14
954,JMK,ORY,14
769,FCO,FRA,14
1251,NCE,AJA,13
959,JTR,ORY,13
918,IAS,OTP,13
1397,ORY,VCE,13
887,HEL,CPH,13
1402,ORY,WAW,13
1198,MRS,FSC,13
307,BCN,FCO,13
1193,MRS,AJA,13
998,KSU,OSL,13
995,KRS,OSL,13
1131,MAD,BCN,13
806,FRA,FCO,13
1045,LIN,FCO,13
1477,PRG,ORY,12
1275,NUE,CDG,12
933,IOM,LHR,12
576,CDG,TLL,12
1037,LIN,AHO,12
1670,SVQ,ORY,12
1810,WAW,ORY,12
1029,LHR,IOM,12
1065,LJU,AMS,12
896,HEL,TLL,12
1324,ORY,CTA,12
882,HAU,OSL,12
1703,TKU,ARN,12
1705,TLL,ARN,12
1387,ORY,SVQ,12
1695,TIA,AMS,12
1405,OSL,AES,12
1579,SEN,AMS,11
1417,OSL,KRS,11
963,KEF,ORY,11
565,CDG,SEN,11
573,CDG,TFS,11
1404,OSD,ARN,11
1317,ORY,CAG,11
1336,ORY,FUE,11
1315,ORY,BUD,11
1371,ORY,PRG,11
17,ACE,ORY,11
1776,VCE,FCO,11
1744,TRF,SVG,11
1347,ORY,KRK,11
1748,TRN,FCO,11
1668,SVQ,AMS,11
1650,STR,CDG,11
1651,SUF,FCO,11
989,KRK,ORY,11
1652,SUF,LIN,11
1806,VRN,ORY,11
1533,RMO,OTP,11
1648,STN,AMS,11
1017,LDY,LHR,11
1031,LHR,NCE,11
997,KSU,BGO,11
1256,NCE,FCO,11
455,CAG,CDG,11
1441,OTP,TSR,10
561,CDG,RMO,10
892,HEL,OUL,10
1724,TOS,BGO,10
1314,ORY,BRI,10
1708,TLL,HEL,10
1707,TLL,CPH,10
1710,TLL,RIX,10
1606,SKP,BEG,10
1298,ORY,ACE,10
1258,NCE,LHR,10
502,CDG,FNC,10
486,CDG,CAG,10
89,AMS,CAG,10
1750,TRS,FCO,10
1635,SOF,CDG,10
1696,TIA,BEG,9
1690,TGD,BEG,9
1580,SEN,CDG,9
1309,ORY,BDS,9
1367,ORY,OVD,9
378,BIQ,AMS,9
1632,SOF,AMS,9
1354,ORY,LPA,9
184,AMS,SEN,9
1257,NCE,FSC,9
1401,ORY,VRN,9
1414,OSL,HAU,9
1686,TFS,CDG,9
747,FAO,CDG,9
1433,OTP,IAS,9
1432,OTP,CLJ,9
994,KRS,CPH,9
454,CAG,AMS,9
1445,OVD,ORY,9
1455,PLQ,CPH,9
461,CDG,ACE,9
1798,VNO,RIX,9
78,AMS,BIQ,9
1344,ORY,KEF,9
1076,LPA,CDG,9
1353,ORY,LJU,9
881,HAU,BGO,8
1059,LIN,SUF,8
1383,ORY,SOF,8
893,HEL,RIX,8
1569,SDL,ARN,8
559,CDG,RHO,8
1698,TIA,FCO,8
1442,OUL,HEL,8
1151,MAH,CDG,8
800,FNC,CDG,8
1447,PDL,CDG,8
15,ACE,CDG,7
1078,LPA,ORY,7
1323,ORY,CPH,7
1418,OSL,KSU,7
1372,ORY,PSA,7
1567,SCQ,CDG,7
564,CDG,SCQ,7
1795,VNO,ARN,7
535,CDG,MAH,7
1636,SOF,ORY,7
648,CPH,ORY,7
499,CDG,FAO,7
1531,RMO,CDG,7
1067,LJU,ORY,7
1081,LPL,AMS,7
1389,ORY,TGD,7
1771,VAR,SOF,7
1702,TIV,ORY,7
1305,ORY,ARN,7
1731,TRD,AES,7
553,CDG,PDL,7
1014,LCY,LIN,7
1381,ORY,SKG,7
1039,LIN,BDS,7
166,AMS,ORY,7
890,HEL,KTT,7
1398,ORY,VIE,7
722,EDI,ORY,7
1002,KUO,HEL,7
1796,VNO,CDG,7
162,AMS,OHD,7
1456,PLQ,RIX,7
1328,ORY,EDI,6
16,ACE,MAD,6
1391,ORY,TIV,6
1633,SOF,BEG,6
1303,ORY,AMS,6
1082,LPL,CDG,6
1289,OMR,OTP,6
1518,RHO,CDG,6
1530,RMO,AMS,6
1480,PSA,ORY,6
1150,MAH,AMS,6
1524,RIX,HEL,6
1049,LIN,LCY,6
1527,RIX,TMP,6
82,AMS,BOJ,6
1135,MAD,FCO,6
1127,MAD,ACE,6
1444,OVD,AMS,6
1010,LBA,CDG,6
147,AMS,MAH,6
1733,TRD,ARN,6
1603,SKG,ORY,6
1787,VIE,ORY,6
894,HEL,RVN,6
971,KLX,ORY,6
410,BOO,TOS,6
1568,SCV,OTP,6
1691,TGD,CDG,6
169,AMS,OVD,6
574,CDG,TGD,6
1706,TLL,CDG,6
1346,ORY,KLX,6
130,AMS,KLX,5
127,AMS,JTR,5
1337,ORY,GOA,5
1766,VAA,ARN,5
1692,TGD,ORY,5
962,KEF,CPH,5
1415,OSL,KEF,5
405,BOJ,SOF,5
1556,RVN,HEL,5
1601,SKG,BEG,5
1599,SJJ,BEG,5
1284,OHD,AMS,5
1604,SKG,OTP,5
897,HEL,VAA,5
1179,MLA,FCO,5
1436,OTP,RMO,5
181,AMS,RMO,5
891,HEL,KUO,5
585,CDG,VRN,5
1720,TMP,RIX,5
529,CDG,LPL,5
1439,OTP,SOF,5
1634,SOF,BOJ,5
1528,RIX,VNO,5
1526,RIX,TLL,5
116,AMS,GRX,5
652,CPH,TOS,5
858,GRX,AMS,5
1101,LYS,BIA,5
1743,TRF,CPH,5
1805,VRN,CDG,5
1769,VAR,CDG,5
1701,TIV,BEG,5
1487,PUY,AMS,4
1680,TAY,HEL,4
1465,PMO,AMS,4
771,FCO,GVA,4
1139,MAD,LIS,4
1653,SUF,ORY,4
1657,SVG,CDG,4
1660,SVG,TRF,4
741,FAE,CDG,4
1437,OTP,SCV,4
1729,TOS,TRD,4
1142,MAD,OPO,4
1438,OTP,SKG,4
126,AMS,JMK,4
1304,ORY,AOI,4
516,CDG,JER,4
221,ARN,GOT,4
970,KLX,AMS,4
566,CDG,SKG,4
557,CDG,PRN,4
1767,VAA,HEL,4
1602,SKG,CDG,4
1525,RIX,PLQ,4
575,CDG,TIA,4
921,IBZ,FCO,4
571,CDG,SVG,4
4,AAR,OSL,4
1949,ZTH,ORY,4
1293,OPO,MAD,4
363,BIA,CRL,4
967,KGS,ORY,4
944,JER,CDG,4
999,KTT,HEL,4
1063,LIS,MAD,4
794,FCO,ZRH,4
177,AMS,PUY,4
498,CDG,FAE,4
1718,TLS,LYS,4
1259,NCE,LYS,3
1379,ORY,RMO,3
1375,ORY,QSR,3
1273,NTE,LYS,3
1403,ORY,ZTH,3
1108,LYS,FAO,3
1114,LYS,MLA,3
1115,LYS,NCE,3
1121,LYS,TLS,3
51,AJA,TLS,3
404,BOJ,AMS,3
1446,PDL,AMS,3
32,AGP,LYS,3
1469,PMO,LYS,3
1676,SZG,AMS,3
1478,PRN,CDG,3
1128,MAD,ALC,3
1130,MAD,ATH,3
1136,MAD,FRA,3
1421,OSL,ORY,3
1637,SOF,OTP,3
788,FCO,SOF,3
773,FCO,IBZ,3
726,EFL,ORY,3
1435,OTP,OMR,3
755,FCO,AJA,3
45,AJA,CRL,3
1392,ORY,TLL,3
1709,TLL,ORY,3
1712,TLS,AJA,3
1300,ORY,AHO,3
1148,MAD,VLC,3
1382,ORY,SKP,3
2,AAL,OSL,3
1342,ORY,JSI,3
1945,ZRH,FCO,3
1386,ORY,SUF,3
1180,MLA,LYS,3
170,AMS,PDL,3
1097,LYS,AJA,3
430,BRU,LIN,3
658,CRL,BIA,3
186,AMS,SKP,3
196,AMS,SZG,3
964,KEF,OSL,3
183,AMS,SCQ,3
901,HER,LYS,3
895,HEL,TAY,3
475,CDG,BIA,3
214,AOI,ORY,3
1607,SKP,ORY,3
1034,LIG,LYS,3
1532,RMO,ORY,3
1631,SNN,CDG,3
1111,LYS,HER,3
1749,TRN,ORY,3
173,AMS,PMO,3
807,FRA,MAD,3
1566,SCQ,AMS,3
567,CDG,SNN,3
505,CDG,FUE,3
1799,VOG,SVO,3
966,KGS,CDG,3
365,BIA,FCO,3
1345,ORY,KGS,3
952,JMK,AMS,3
1395,ORY,TRN,3
1366,ORY,OSL,3
1374,ORY,PVK,2
1292,OPO,LYS,2
317,BEG,OHD,2
326,BEG,VAR,2
361,BHX,EMA,2
362,BIA,CDG,2
370,BIA,TLS,2
346,BGO,GOT,2
316,BEG,LYS,2
955,JSI,ORY,2
1791,VLC,MAD,2
929,INN,AMS,2
956,JTR,AMS,2
1047,LIN,HER,2
1800,VOL,ORY,2
236,ARN,TOS,2
520,CDG,KGS,2
230,ARN,OSL,2
1768,VAR,BEG,2
1777,VCE,MAD,2
605,CFU,FCO,2
900,HER,LIN,2
1605,SKP,AMS,2
247,ATH,MAD,2
1054,LIN,PMI,2
1041,LIN,BRU,2
840,GOA,ORY,2
843,GOT,BGO,2
1113,LYS,LIG,2
1516,REU,ORY,2
1044,LIN,DUS,2
889,HEL,KAO,2
171,AMS,PLQ,2
812,FSC,LYS,2
431,BRU,MAD,2
442,BUD,OTP,2
1501,QSR,ORY,2
1096,LYS,AGP,2
1099,LYS,BEG,2
1102,LYS,BIQ,2
1103,LYS,BOD,2
865,GVA,ORY,2
1741,TRD,TOS,2
657,CRL,AJA,2
1665,SVO,LED,2
1667,SVO,VOG,2
1110,LYS,FSC,2
1116,LYS,NTE,2
1117,LYS,OPO,2
1120,LYS,TIA,2
1495,PVK,ORY,2
1461,PMI,LIN,2
389,BLL,FAE,2
1640,SOU,ORY,2
783,FCO,PMI,2
760,FCO,BIA,2
765,FCO,CFU,2
1454,PLQ,AMS,2
38,AHO,ORY,2
1133,MAD,BRU,2
46,AJA,FCO,2
740,FAE,BLL,2
743,FAE,EDI,2
744,FAE,KEF,2
748,FAO,LYS,2
1434,OTP,NCE,2
1440,OTP,SUJ,2
1141,MAD,MXP,2
1146,MAD,VCE,2
1723,TOS,ARN,2
1726,TOS,CPH,2
1699,TIA,LYS,2
124,AMS,INN,2
719,EDI,FAE,2
1430,OTP,BUD,2
1400,ORY,VOL,2
1285,OHD,BEG,2
1237,MXP,MAD,2
1714,TLS,BIA,2
1697,TIA,CDG,2
1377,ORY,REU,2
1384,ORY,SOU,2
1329,ORY,EFL,2
1318,ORY,CDG,2
1338,ORY,GVA,2
344,BGO,FAE,1
318,BEG,OTP,1
1717,TLS,FSC,1
1725,TOS,CDG,1
772,FCO,HER,1
725,EFL,FCO,1
745,FAE,OSL,1
767,FCO,EFL,1
787,FCO,RHO,1
779,FCO,MUC,1
774,FCO,LGW,1
1664,SVO,KUF,1
864,GVA,FCO,1
801,FNC,LYS,1
816,FSC,TLS,1
810,FSC,BOD,1
809,FSC,BIQ,1
1641,SPC,AMS,1
642,CPH,CPH,1
637,CPH,AES,1
820,FUE,CDG,1
871,HAM,HAM,1
872,HAM,LIN,1
613,CHQ,LYS,1
608,CGN,AMS,1
1770,VAR,ORY,1
958,JTR,LYS,1
922,IBZ,LIN,1
580,CDG,VAR,1
578,CDG,TOS,1
1018,LED,SVO,1
1048,LIN,IBZ,1
53,ALC,MAD,1
1000,KUF,SVO,1
190,AMS,SPC,1
62,AMS,AEY,1
1025,LGW,FCO,1
1051,LIN,MAH,1
249,ATH,OTP,1
